BUSINESS DATE,CLOSE PRICE,HIGH PRICE,LOW PRICE,TOTAL TRADED QUANTITY,TOTAL TRADED VALUE,TOTAL TRADES
2025-03-16,290.0,293.0,289.0,35376,1.02766444E7,259
2025-03-12,293.0,294.9,289.1,24116,7025526.5,186
2025-03-11,292.0,299.8,291.0,26267,7709102.5,198
2025-03-10,294.2,300.0,294.2,30724,9095409.5,227
2025-03-09,297.0,305.0,296.0,24088,7173557.2,218
2025-03-06,301.0,305.0,300.2,29555,8910185.3,227
2025-03-05,301.5,306.0,300.2,55112,1.67224084E7,217
2025-03-04,304.3,310.9,302.9,74386,2.28178798E7,297
2025-03-03,309.0,315.0,306.5,77760,2.4204318E7,498
2025-03-02,309.0,311.0,300.0,140917,4.33846953E7,640
2025-02-27,303.0,310.0,297.0,72598,2.19751532E7,489
2025-02-25,293.1,297.8,292.0,36537,1.07566215E7,259
2025-02-24,293.9,299.0,292.0,31364,9243592.2,226
2025-02-23,294.0,299.0,285.0,54840,1.61029618E7,352
2025-02-20,296.0,300.0,295.0,41190,1.22083243E7,194
2025-02-18,300.0,301.9,296.0,61491,1.84377455E7,271
2025-02-17,295.0,300.9,289.5,70893,2.08767689E7,351
2025-02-16,291.4,295.0,289.3,30069,8740886.8,258
2025-02-13,293.1,295.3,290.1,21247,6206659.8,144
2025-02-12,291.5,295.0,290.6,24571,7168466.7,160
2025-02-11,291.8,295.0,290.1,13397,3910760.5,131
2025-02-10,295.0,296.0,293.1,16601,4874477.0,113
2025-02-09,295.0,301.0,293.2,22682,6712938.7,189
2025-02-06,298.0,302.0,296.7,39334,1.1756797E7,187
2025-02-05,297.2,299.0,295.0,27079,8045263.8,145
2025-02-04,297.0,304.9,297.0,51668,1.5563801E7,256
2025-02-03,299.0,303.9,296.0,49607,1.48740766E7,309
2025-02-02,294.9,295.0,286.0,53452,1.55977323E7,329
2025-01-28,286.0,287.0,281.1,27911,7954617.2,134
2025-01-27,283.5,287.0,283.0,23094,6572040.2,165
2025-01-26,287.6,292.7,283.3,43687,1.25717318E7,277
